Model settings:
Alpha = 1, Features encoder depth = 34, Cognition encoder depth = 6, Latent space dimension = 6, Data normalized = True
Features encoder dimensions = [14753, 13006, 12264, 11775, 10875, 9729, 9303, 8852, 8000, 8000, 7642, 7175, 6949, 6810, 6311, 6000, 5823, 5583, 5245, 4990, 3629, 3000, 2732, 1200, 1950, 1655, 1500, 1414, 1032, 827, 665, 301, 135, 50]
Cognition encoder dimensions = [12, 11, 10, 9, 8, 7]
Learning curve mode = False
********************
  epoch    l2_norm    reconst_loss    score    train_loss     dur
    132     0.8271          1.3196  15.4398        2.1467  0.5616
    133     0.7677          1.3249  16.3409        2.0926  0.5627
    134     0.7439          1.3083  18.5013        [31m2.0522[0m  0.5604
    135     0.7546          1.3529  22.0800        2.1075  0.5847
    136     0.7936          1.3588  21.1258        2.1524  0.5602
    137     0.7938          1.3150  31.1480        2.1089  0.5622
    138     0.8282          1.3358  19.8351        2.1640  0.5606
    139     0.7757          1.3069  17.5225        2.0826  0.5613
    140     0.8067          1.3469  21.4913        2.1536  0.5615
    141     0.7679          1.3157  19.5128        2.0835  0.5683
    142     0.7872          1.2827  15.4153        2.0698  0.5612
    143     0.8020          1.2972  17.1467        2.0991  0.5610
    144     0.7815          1.3129  19.8514        2.0945  0.5620
    145     0.8051          1.3331  21.2220        2.1382  0.5623
    146     0.8255          1.3194  18.2902        2.1449  0.5617
    147     0.7941          1.3314  14.7737        2.1256  0.5625
    148     0.7883          1.3204  15.3519        2.1087  0.5602
    149     0.7723          1.3205  20.2503        2.0928  0.5608
    150     0.8043          1.2846  21.5413        2.0888  0.5622
    151     0.7916          1.3317  12.5207        2.1233  0.5695
    152     0.7518          1.3426  20.0040        2.0944  0.5621
    153     0.7788          1.2875  15.0254        2.0663  0.5617
    154     0.7615          1.3065  17.1420        2.0681  0.5611
    155     0.7503          1.3042  20.8644        2.0545  0.5615
    156     0.7620          1.3361  17.1693        2.0981  0.5605
    157     0.7757          1.2912  16.9907        2.0669  0.5699
    158     0.7450          1.3252  24.2541        2.0702  0.5623
    159     0.7830          1.3262  22.4249        2.1093  0.5620
    160     0.7701          1.3273  13.2401        2.0974  0.5608
    161     0.7518          1.2860  19.5970        [31m2.0378[0m  0.9746
    162     0.7131          1.3284  17.1403        2.0414  0.5599
    163     0.6987          1.3223  21.8401        [31m2.0210[0m  0.5604
    164     0.7109          1.2929  17.5995        [31m2.0038[0m  0.5625
    165     0.7725          1.3165  20.9695        2.0890  0.5593
    166     0.7856          1.3093  16.3196        2.0949  0.5625
    167     0.7608          1.3113  23.6396        2.0720  0.5624
    168     0.7582          1.3274  18.4227        2.0856  0.5612
    169     0.7301          1.2966  14.7396        2.0267  0.5630
    170     0.7425          1.3157  28.3949        2.0583  0.5612
    171     0.7634          1.3393  19.6656        2.1027  0.5601
    172     0.7531          1.3344  21.4511        2.0875  0.5617
    173     0.7668          1.2905  22.4657        2.0573  0.5612
    174     0.7650          1.3044  18.4719        2.0694  0.5618
    175     0.7334          1.3097  18.0232        2.0431  0.5615
    176     0.7351          1.3295  21.9399        2.0646  0.5605
    177     0.7193          1.3093  21.0412        2.0286  0.5604
    178     0.7351          1.3079  16.2431        2.0430  0.5619
    179     0.7597          1.3022  17.0004        2.0619  0.5614
    180     0.7478          1.3086  20.7230        2.0564  0.5687
